Common_name,Species,location,date_first record,first record source
SAGE,CM,Shams Alam,19-4-2021,MICOL M
SAGUARO,EI,Big Giftun,20-02-2019,SAGUARO photographs of Hurghada team
SAHH1 EI,EI,Sahl El Hasheesh,08-07-2018,Ivana Zimova - FB
SAHH2 EI,EI,Sahl El Hasheesh,08-07-2018,Ivana Zimova - FB
SAHRA,CM,SHAMS ALAM,8/4/2021,Momoo El Gohary & Sahra El Gohary
SALOMé,CM,MARSA MUBARAK,4/7/2024,Jerry Van Der Wielen
SALTERINA,CM,SHAMS ALAM,11/30/2021,AHMED MAGDY
SAM,EI,"Woodhouse Reef, Tiran",18-04-2019,Charlotte Rose - OCCO
Samir,EI,Marsa Shagra,16-06-2014,Sarah O'Gorman
SAMMY,CM,Marsa Mubarak,26-09-2018,Mariska van der Paauw - MM
SAMY,EI,MARSA ABU DABBAB,7/15/2024,GEORG IVAN
SANDRA,CM,Marsa Mubarak,1-9-2017,Jens Weckert - Coraya Divers
SANDY,CM,Hermes ,30-06-2018,ABDAllah Taher - MM
SANDY B,EI,ABU SAWATIR,6/14/2024,Sammie Clare
SANI,CM,GORGONIA,4/25/2023,Marcel Dietliker
SARA REEF,EI,RAS GHAMILA,6/28/2024,FABIO BAVIERA
Sarah,CM,Marsa Shagra,09-10-2017,Sarah O'Gorman
SASà,EI,Shab Sabrina,12-07-2016,Haibert Rodebusch- ILIO
Sascha,CM,Abu Dabbab,4/4/2008,Michaela Sladkova - FB
SASKIA CH,EI,PANORAMA REEF,24-12-2019,Caroline Schunk
SATA1 EI,EI,Satayah,16-08-2017,Vittoria Cipriani - MM
SAYL,EI,Abu Sayl,16-08-2019,Micol M
SCLA1 EI,EI,Shab Claudio,22-06-2014,Mariska van der Paauw - MM
SCLA2 EI,EI,Shab Claudio,22-06-2014,Mariska van der Paauw - MM
Sebastian,CM,Abu Dabbab,7/11/2012,MARTINA BALZAROVA
SEIF,CM,MAKADI BAY,22-03-2021,NICOLE LINDEGGER
SERAG,EI,TONDOBA,2/9/2024,Micol MONTAGNA
SHAB1 EI,EI,Shab Abu Dabbab 1,01-05-2018,Abdallah Taher - MM
SHAGRADT1 EI,EI,Marsa Shagra,25-06-2018,Sarah O'Gorman -RDSDs
SHAHD,CM,Marsa Shona,11-01-2019,AbDAllah Taher - MM
SHAIMAA,CM,Marsa Mubarak,10-03-2012,Benny Van Laere - EXTRA DIVERS
SHALDT1,CM,SHAMS ALAM,9/9/2022,Ralf Norrenberg
SHAMS,CM,"Marsa Murein, Shoony Bay",21-08-2018,Camille Gros - MM
SHAMSI,CM,Shams Alam,2017,Birgit Eichenseher - WAGI
SHARGONIA,CM,GORGONIA - SHAMS ALAM (IN BETWEEN),7/25/2023,Sandra Schmitt-Sabine Laujosa
SHARKONI,CM,MARSA SHAGRA,9/28/2023,Michel Kuijpers
SHAUN,EI,SHA'AB CLAUDIO,27/11/2023,JUSTIN ORMAND
SHAWKY,EI,MARSA SHOUNA,4/25/2023,Muhammet Shawky
SHELLEY,CM,Bannerfish bay,06-05-2018,Alex Caine
SHERAZADE,CM,TORFA,4/27/2023,MICOL MONTAGNA
SHERRY,EI,GOLDEN BLOCKS,6/1/2024,MOHAMED A. OSMAN
Shon2 EI,EI,Marsa Shona,17-07-2018,EMPEROR DIVERS
SHOONY,CM,Marsa Shoony Bay,06-11-2018,AbDAllah Taher - MM
SHREDDER,EI,JACKSON REEF,11/8/2023,NEIL OWEN
SHUSHU,CM,"Hermes, Marsa Abu Dabbab ",13-11-2018,MM-AT
SHY,CM,Lahami Bay,14-07-2018,SABINA M. HORN - Sahra El Gohary - Mohamed El Gohary
SILENTE,CM,SHAMS ALAM,6/19/2025,Micol Montagna
SILVEENA,EI,ABU GHOSUN,18-05-2022,SILVIA BODEI
SILVER,CM,ABU SAILE,3/17/2024,Mariska van der Paauw - MM
SILVIA,CM,ASALAYA ,31-10-2020,Micol M
Simon C,EI,"Gorgonia HR, Shams Alam",05-11-2016,Koen CRABBE - TGIM
SIMONETTA,CM,Marsa Samadai,23-11-2018,SIMONETTA ZANDIRI - DEAS
SINA,EI,CARLESS REEF,29-04-2019,Osman Gamal
SINTRA,CM,CORAYA BAY,7/9/2024,Sony Seil
SNOOKIE,EI,Makadi Bay,19-05-2018,Jessica Godiker
SOFI,EI,Lahami Bay,28-11-2018,Alessandro Ferlazzo Ciano
SOFIAN,CM,Egla,05-11-2018,Micol M
SOGS,EI,SHA'AB CLAUDIO,27/11/2023,JUSTIN ORMAND
SOLYMAR,EI,SHARM EL ARAB,5/28/2024,SONY SEIL
SOPHIA,CM,MARSA MUBARAK,18/12/2024,Ivana Zimova
SPEEDY,CM,Erg Malik,18-11-2011,Benny Van Laere - EXTRA DIVERS
SPERANZA,CM,FLAMENCO HR,6/13/2024,ALESSANDRA SICILIA
SPIKE,CM,MARSA MUBARAK,5/21/2022,Caroline Schunk
SPOTTY,EI,ELPHINSTONE,28-10-2011,MARTINA BALZAROVA
SQUIRTLE,CM,Lahami Bay,18-03-2019,Alessandro Ferlazzo Ciano
STARGOLA,EI,TONDOBA - STARGOLA,7/6/2024,Hamdi Ahmed Khalawy
STARLIGHT,CM,TONDOBA,14/12/2022,SIMONETTA ZANDIRI - DEAS - MM
STEFANIE,EI,MARSA SHOUNA,31/10/2023,Silvia Bodei
STEFFANIE,EI,EL KHORAFI,1/25/2024,Mariska van der Paauw - MM
STEGOSANDRO,EI,Lahami Bay,10-5-2016,Miriam Tercon -MM
STEPHANIE,CM,GAbel Rosas,3-12-2021,FRANNIE VAN HAALEN
STEPHIE,CM,MAKADI BAY,12/4/2022,STEPHANIE HEMPELMANN
STERRE,CM,Marsa Shona,11-10-2018,Mariska van der Paauw - MM
STINE,EI,Makadi Bay,06-05-2018,Ivan Puglisi - IDIVE
SUAD,EI,"MASBAT BAY, BLUE HOLE",10/5/2019,Oliver Uni Bonn
SUBEXA,CM,NAAMA BAY,6/16/2025,Anita Stoppini
SUDANI,EI,Shaab Rumi -Sudan,01-10-2016,Camille Gros - MM
SUMMERLABB,EI,Sha'ab Samadai,04-05-2018,Rob Van Gils
SUNA,CM,HERMES,6/13/2022,StefaniE KRIEG
SUNLIGHT,EI,"ZABARGAD, SHAB MAKSOUR",24/11/2020,Mirjam Bouwmeester
SUNNY,EI,CORAYA BAY,7/10/2022,Ludwig Wieninger
SUNNY-MORLA,CM,GASSOUS BAY,9/16/2023,Daniel Müller
SUNSHINE,EI,DAEDALUS REEF,10/4/2022,LYONYA EYDIS
SURPRISE,CM,"Marsa Abu Dabbab, Marsa Shouna",15-06-2019,WOUT AND GERRY CAN KOOT
SUSI,EI,Ras Torombi,18-05-2018,KATRIN ESTER - HAMATA MANGROVES
SYLVESTER,EI,THE ISLANDS,17/1/2024,Ewa Dominiak
TABOO,CM,LAHAMI BAY,5/14/2024,CARLOTTA MARRI
TADEÁŠ,CM,BLUE-DREAM-EMERALD LAGOON HR,4/28/2025,Tadeáš Černohous
TALIA,CM,TONDOBA,10/8/2019,simonetta zandiri
TAMINA,CM,Hermes ,13-11-2018,MM-AT
TANIA,CM,SHAMS ALAM,12/4/2019,Kerstin Schumann
TARTHUR SHELLBIE,CM,Lahami,05-04-2019,Alessandro Ferlazzo Ciano
TATÀ,CM,MARSA ASALAYA,9/24/2025,Micol Montagna
TAURA,CM,SHAMS ALAM,4/22/2023,Laura Tagliaferro
TAYLOR,EI,MASHRABA,3/1/2020,MOHSEN ELSAKA
TEO,CM,TONDOBA,16/3/2023,MAJA ZAMENCKA
TERESA,CM,ELPHISTONE RESORT HR,5/30/2025,Micol Montagna
TETO,EI,EL KHORAFI,3/17/2023,DOREen Hofmann
THEA,CM,SHAMS ALAM,6/23/2022,walter negro
THERESE,CM,MARSA ASALAYA,1-11-2019,AHMED FOUAD - RED SEA PROJECT
Theta,EI,Marsa Shagra,02-09-2011,Sarah O'Gorman
THIS1 EI,EI,Thistlegorm Wreck,13-11-2016,Mariska van der Paauw - MM
THOMAS,EI,THOMAS REEF,16/12/2011,AMAY
Three,EI,"Marsa Shagra, Blue Reef HR",12-10-2017,Sarah O'Gorman
Ti,CM,Marsa Shagra,27-05-2017,Sarah O'Gorman
TIA,EI,MAKADI garden outside,18-09-2020,NICOLE LINDEGGER
TINIE,CM,Gorgonia HR,13-08-2016,Sylvia Van Bakel
TITO,EI,FLAMENCO HR,5/9/2024,Fabrizio Bravetti
TITTY,CM,LAGOON VIEW,7/29/2023,Stefania di Lelio
TJERK,EI,Fayrouz,13-06-2011,Benny Van Laere - EXTRA DIVERS
TOBI,CM,HERMES,9/24/2022,RUUD VAN DEN BERG
TOKA,CM,TONDOBA,12/3/2024,MICOL MONTAGNA
Tom,CM,Abu Dabbab,6/8/2015,Petra Wahl - MM
TOMASINA,CM,FANTAZIA HR,8/24/2024,Nicolò Tomasetti
TOMASINO,EI,Tower,07-01-2019,Eirik Coppa Thommessen-ECOT
TOMEK LECHOSLAW,EI,SATAYAH,11/9/2022,ABDALLAh Taher - MM
TOMMY,CM,MAKADI BAY,10/16/2023,MIKE BASLER
Tond1 EI,EI,Tondoba,07-12-2018,SimONETTA ZANDIRI - DEAS
Tond2 EI,EI,Tondoba,11-12-2018,SimONETTA ZANDIRI - DEAS
TONDINA,CM,Tondoba,09-06-2020,MM
TONDO,CM,Tondoba,11-12-2018,SimONETTA ZANDIRI - DEAS
TORFA,CM,Ben El Gebel,05-05-2018,Haibert Rodebusch- ILIO
TORO1 EI,EI,Ras Torombi,09-03-2012,Benny Van Laere - EXTRA DIVERS
TORTILLA,EI,SHAMS SAFAGA,6/22/2019,Benjamin Gundacker
TORTUGA,CM,MAKADI BAY,9/26/2024,Michael Weiss
TRAUDL,CM,LAHAMI BAY,7/19/2024,Marion Schönian
TREVOR,CM,MARSA MUBARAK,22-09-2024,Natalie Thomas - Emperor Divers
Trilly,CM,Marsa Shagra,12-12-2012,Sarah O'Gorman
TRIO,CM,TONDOBA,6/12/2022,MIRIAM TERCON
TRUST,EI,Sha'ab Sharm,2017,Birgit Eichenseher - WAGI
TSUNAMI,CM,"Egla, Gabel Rosas, Abu Dabbab",31-07-2018,MM
TUL1,CM,Tulip HR,21-05-2014,Benny Van Laere - EXTRA DIVERS
TUL2,CM,Tulip HR,03-12-2014,Benny Van Laere - EXTRA DIVERS
TUL3,CM,"Tulip HR, Ras El Torfa",09-09-2015,Benny Van Laere - EXTRA DIVERS
tulp1 EI,EI,Tulip HR,29-03-2015,Benny Van Laere - EXTRA DIVERS
TULP2 EI,EI,Tulip HR,14-09-2015,Benny Van Laere - EXTRA DIVERS
TULP3 EI,EI,Tulip HR,14-09-2015,Benny Van Laere - EXTRA DIVERS
TULP4 EI,EI,Tulip HR,15-09-2015,Benny Van Laere - EXTRA DIVERS
TULP5 EI,EI,Tulip HR,16-09-2015,Benny Van Laere - EXTRA DIVERS
TULP6 EI,EI,Tulip HR,19-09-2015,Benny Van Laere - EXTRA DIVERS
TULP7 EI,EI,Tulip HR,20-09-2015,Benny Van Laere - EXTRA DIVERS
TURKA,EI,Ras Hornkorab,19-11-2018,DOREEN HUBER  E-MOTION
Ufo,EI,Marsa Shagra,28-10-2011,HEPCA catalogue 2012
Unk11,CM,Abu Dabbab,2/24/2017,Abdallah Taher - MM
Unk12,CM,Abu Dabbab,2/14/2017,Abdallah Taher - MM
Unk13,CM,Abu Dabbab,7/29/2016,Paolo Magnani - MM
Unk17,CM,Abu Dabbab-Hermes,3/22/2017,Ahmed Taher - MM
Unk18,CM,Abu Dabbab,4/27/2017,Abdallah Taher - MM
Unk22,CM,Abu Dabbab,6/30/2017,Micol M
Unk23,CM,Abu Dabbab,6/30/2017,Micol M
Unk25,CM,Abu Dabbab,7/10/2017,Abdallah Taher - MM
Unk28,CM,Abu Dabbab,7/20/2017,UNK photographer- MM
Unk29,CM,Abu Dabbab,8/5/2017,Abdallah Taher - MM
Unk32,CM,Abu Dabbab,5/1/2014,iVANA Zimova - FB
Unk33,CM,Abu Dabbab,12/3/2017,Micol M
UNK35,CM,Abu Dabbab,04-04-2008,Michaela Sladkova - FB
UNK36,CM,Marsa Abu Dabbab,24-06-2019,sIMONETTA ZANDIRI - DEAS
Unk6,CM,Abu Dabbab,10/13/2016,Micol M
Unk9,CM,Abu Dabbab,8/24/2016,Patrick Schyns - MM
URSEL,CM,LAHAMI BAY,2/24/2023,Dagmar Hauptmann
Urte,CM,Abu Dabbab,11/26/2011,HEPCA catalogue 2012
UWE,CM,MARSA MUBARAK,2/28/2025,Volker Wollert
VALENTINA,CM,Shams Alam,28-06-2019,DAVIDE CARBONE
VALENTINE,CM,Shams Alam,06-05-2018,Grzeszczuk Anna 
VALENTINO,CM,TONdoba,1-11-2020,MICOL M
VALERIA,CM,TONDOBA,2/10/2023,MICOL MONTAGNA
VALERIE,CM,Naama Bay,6/8/2022,ANITA STOPPINI
VENERDì,CM,MARSA ASALAYA,5-3-2021,MICOL M
VENUS,CM,Shams Alam,17-07-2019,Sabina M Horn
VERDEACQUA,EI,TORFA,6/30/2022,EMILIO MANCUSO - CDMR
VEROPES,EI,"Marsa Asalaya, Hermes",8/28/2023,Valeria Roma
VICKY,CM,Wadi Lahmi-Lahami bay HR,17-04-2016,Miriam Tercon -MM
VICTOR,EI,MARSA ABU DABBAB,7/5/2022,ISABELL BRAND
VIKTORIA,CM,MARSA MUBARAK,2/25/2025,Volker Wollert
Vince C,CM,Gorgonia HR,5-11-2017,Koen CRABBE - TGIM
VINCENZO,CM,TONDOBA,11/1/2023,mICOL MONTAGNA
VIOLA,EI,SHAMS ALAM,20-06-2023,MICOL MONTAGNA
VITTOLINA,CM,TORFA,6/28/2022,EMILIO MANCUSO - CDMR
VOLKER,CM,MARSA MUBARAK,3/1/2025,Volker Wollert
WALTER,EI,Shams Alam - Gorgonia,01-03-2018,Elvira Tonelli
WAVE,CM,SHAMS ALAM,6/15/2023,Monika Černohousová
WDLA1 EI,EI,Wadi Lahmi,10-05-2016,Miriam Tercon -MM
WDLAUNK1,CM,Wadi Lahmi,10-02-2018,Vittoria Cipriani - MM
WDLAUNK2,CM,Wadi Lahmi,19-04-2016,Miriam Tercon -MM
WILLI,CM,EL KHORAFI,7/25/2019,Delphine Reisz-Deschler
WILLY,CM,GORGONIA HOUSE REEF,9/27/2025,Stefania Di Lelio
WISH,CM,MARSA SAMADAI,11/4/2022,SIMONETTA ZANDIRI - DEAS
WOLFGANG,EI,"HELG SHOUNI, ABU DABBOUR",11/17/2022,ABDALLAh Taher - MM
YAKUB,CM,ABU SAYL,4/7/2024,MARISKA van der Paauw - MM
YANARA,CM,RAS GHAMILA,6/23/2025,Anita Stoppini
YELDA,CM,MAKADI BAY,10/9/2024,Lisa Riesterer
YELLOW,CM,Shams Alam,29-05-2018,Wolfgang Gumpoldsberger - WAGI
YEP,CM,HERMES,3/11/2022,Ruud van den Berg
YMKE,CM,HERMES,5/27/2024,RUUD VAN DEN BERG
YODA,CM,"Marsa Mubarak, Marsa Fukera",26-03-2018,MM
YOEL,CM,Marsa Abu Dabbab,29-04-2019,Micol M
YOLA,CM,HERMES,9/24/2022,Ruud van den Berg
YOUNIS,CM,TULIP,8/2/2022,Julia Hartmann
YOYO ,CM,Hermes ,29-08-2018,AT
YVAN,CM,TONdoba,29-12-2020,MICOL M
YVONNE,EI,Gabel Rosas,27-10-2018,Frannie Van Haalen van Remmerden
ZABETTA,CM,Wadi Lahmi Big Reef,24-10-2019,EMILIO MANCUSO - CDMR
ZAFA,EI,ELPHINSTONE REEF,2/29/2024,DOREen Hofmann
ZAHAL,EI,FAyrouz,28/10/2023,BEAT RIMANN
ZAHRA,CM,TONDOBA,5/10/2023,MICOL MONTAGNA
ZAKARIA,CM,Egla,11/16/2017,Micol M
ZENO,CM,SHAMS ALAM,20-06-2023,MICOL MONTAGNA
ZIAD,CM,Marsa Shona,11-01-2019,AbDAllah Taher - MM
Zizo,CM,Abu Dabbab,7/24/2011,HEPCA catalogue 2012
ŻÓŁW,CM,MARSA EGLA,8/11/2022,ABDAllah Taher - MM
ZWAWI,CM,LAHAMI BAY,10/10/2022,Kerstin Schumann
