Common_name,Species,location,date_first record,first record source
BRAVE,CM,TONDOBA,14/12/2022,MICOL MONTAGNA
BRAVEHEART,CM,MARSA SHOUNA,5/15/2022,JUSTIN ORMAND
Bridge,CM,Marsa Shagra,06-07-2015,Sarah O'Gorman
BROMLEY,EI,MARSA SHAGRA,5/19/2023,JUSTIN ORMAND
BRUNO,EI,Makadi Bay,16-01-2019,Uwe Rautenstrauch -PIDI
BRYAN,EI,Hermes ,22-11-2015,Benny Van Laere - EXTRA DIVERS
BUBBLES,EI,MAKADI BAY,9/18/2020,Nicole LiNDEGGER
BUBSON,CM,TONDOBA,1/27/2023,MICOL MONTAGNA
BUDDY,CM,FAyrouz,10/29/2023,BEAT RIMANN
BUGGLES,EI,Chrisoula K,13-08-2018,Justin Ormand - BLUE PLANET
Burrito,CM,Abu Dabbab,4/4/2008,Michaela Sladkova - FB
CALIMERO,EI,Makadi Bay,08-2018,Diana Rupp
CAMBAJAM,CM,Marsa Shona,22-04-2018,Camille Gros - MM
CAMILLA,CM,Tulip HR,22-06-2019,Dana Nagel - ORCA
CAMILLE,CM,Ras Mohamed,01-01-2018,Camille Gros - MM
CAPTAINWOLF,CM,LAHAMI BAY,12/12/2022,Dagimar Hauptmann
CARLA,EI,Sha'ab Marsa Alam,17-05-2018,Vittoria Cipriani - MM
CARLOTTA,CM,Lahami Bay,05-10-2019,Levi Nanni
Carmen,CM,Abu Dabbab,8/22/2017,Abdallah Taher - MM
CARMENCITA,CM,TONDOBA,2/10/2023,MAJA ZAMENCKA
Carn1 EI,EI,Carnatic,10-07-2017,Claire Arndt
CAROLINE,EI,"Coraya Bay, TTC SEABEACH HR",21-10-2018,Benny Van Laere - EXTRA DIVERS
CARPACCIO,EI,DIVER'S ALLEY,6/18/2022,ALFONSO CAMPOS
CAS,CM,Egla,30-06-2018,Mariska van der Paauw - MM
CASSI,CM,Abu Dabbour,02-12-2018,Ruud Van Den Berg-MM
CASSIOPEA,EI,Abu Dabbab,06-04-2018,Jan Goossens - MM
CASTELLA,CM,HERMES,03-06-2022,STEFANIE KRIEG
CAT,CM,Shams Alam,16-05-2018,KATRIN ESTER - WAGI
CATH,CM,Naama Bay,10-06-2011,ECOT- AGNESE MANCINI DATA
Chadi,EI,"Marsa Shagra, Brayka Bay",05-06-2009,Sarah O'Gorman RSDS
Chappie ,CM,Wadi Lahmi,15-12-2018,Alessandro Ferlazzo Ciano
Charlène,EI,Rocky Island,14-3-2021,PHILIP HAMILTON - OCEAN SOULS FILMS
CHARLY,EI,MAKADI,01-11-2021,Sarah Franz
CHASE,CM,MARSA FUKERA,2/12/2023,Stefanie Baudy
CHIARA,CM,TONDOBA,6/25/2024,abdaLLAh Taher - MM
CHICKMASTER,EI,GORGONIA,1-8-2019,NatalieNaumann
CHINO,CM,TONDOBA,2/11/2025,MICOL MONTAGNA
CHRIS,CM,Hermes ,24-07-2018,ABDAllah Taher - MM
CHRISTIAN,CM,TONDOBA,4/5/2023,MICOL MONTAGNA
CHRISTINE,EI,Erg Malik,18-11-2011,Benny Van Laere - EXTRA DIVERS
CHRISTOPH,CM,TONdoba,2-3-2019,SIMONETTA ZANDIRI - DEAS
